70
Nome do Jogo,Plataforma,Vendedor,Valor
The Witcher 3: Wild Hunt,Steam,CD Projekt,59.99
Grand Theft Auto V,PlayStation Store,Rockstar Games,39.99
Red Dead Redemption 2,Microsoft Store,Rockstar Games,49.99
Minecraft,Official Website,Mojang,26.95
Fortnite,Epic Games Store,Epic Games,0.00
Call of Duty: Warzone,Battle.net,Activision,0.00
Apex Legends,Origin,Respawn Entertainment,0.00
FIFA 22,PlayStation Store,EA Sports,59.99
NBA 2K22,Steam,2K Sports,59.99
Assassin's Creed Valhalla,Ubisoft Store,Ubisoft,59.99
Cyberpunk 2077,GOG,CD Projekt,59.99
World of Warcraft,Blizzard Shop,Blizzard Entertainment,14.99
Overwatch,Microsoft Store,Blizzard Entertainment,19.99
Valorant,Riot Games,Valorant,0.00
League of Legends,Riot Games,RIOT,0.00
The Last of Us Part II,PlayStation Store,Naughty Dog,59.99
God of War,PlayStation Store,Santa Monica Studio,19.99
Hades,Steam,Supergiant Games,24.99
Among Us,Steam,InnerSloth,3.99
Sekiro: Shadows Die Twice,Steam,FromSoftware,59.99
Animal Crossing: New Horizons,Nintendo eShop,Nintendo,59.99
The Legend of Zelda: Breath of the Wild,Nintendo eShop,Nintendo,59.99
Super Mario Odyssey,Nintendo eShop,Nintendo,59.99
Pokémon Sword,Nintendo eShop,Game Freak,59.99
Monster Hunter: World,Steam,Capcom,29.99
Resident Evil Village,Steam,Capcom,59.99
Doom Eternal,Steam,id Software,59.99
World of Tanks,Official Website,Wargaming,0.00
Genshin Impact,Official Website,miHoYo,0.00
Rocket League,Epic Games Store,Psyonix,0.00
Tom Clancy's Rainbow Six Siege,Ubisoft Store,Ubisoft,19.99
Destiny 2,Steam,Bungie,0.00
Tom Clancy's The Division 2,Ubisoft Store,Ubisoft,59.99
Counter-Strike: Global Offensive,Steam,Valve,0.00
Mortal Kombat 11,Steam,NetherRealm Studios,59.99
Battlefield V,Origin,Electronic Arts,59.99
Madden NFL 22,Origin,EA Sports,59.99
Star Wars Jedi: Fallen Order,Origin,Respawn Entertainment,59.99
Final Fantasy XIV,Official Website,Square Enix,19.99
World of Warcraft: Shadowlands,Blizzard Shop,Blizzard Entertainment,39.99
Dead by Daylight,Steam,Behaviour Interactive,19.99
Stardew Valley,Steam,ConcernedApe,14.99
Subnautica,Steam,Unknown Worlds Entertainment,24.99
Terraria,Steam,Re-Logic,9.99
The Elder Scrolls V: Skyrim,Steam,Bethesda Game Studios,39.99
Fall Guys: Ultimate Knockout,Steam,Mediatonic,19.99
Among Us,App Store,InnerSloth,0.99
Pokémon Go,App Store,Niantic,0.00
Clash of Clans,App Store,Supercell,0.00
Free Fire,Google Play,Garena,0.00
Resident Evil 3,Steam,Capcom,59.99
The Legend of Zelda: Skyward Sword HD,Nintendo eShop,Nintendo,59.99
Marvel's Spider-Man: Miles Morales,PlayStation Store,Insomniac Games,49.99
Ratchet & Clank: Rift Apart,PlayStation Store,Insomniac Games,69.99
Demon's Souls,PlayStation Store,Bluepoint Games,69.99
Final Fantasy VII Remake,PlayStation Store,Square Enix,69.99
Ghostrunner,Steam,One More Level,29.99
The Outer Worlds,Microsoft Store,Obsidian Entertainment,59.99
Crash Bandicoot 4: It's About Time,Steam,Toys for Bob,59.99
Watch Dogs: Legion,Ubisoft Store,Ubisoft,59.99
Mortal Kombat 11 Ultimate,Steam,NetherRealm Studios,59.99
Marvel's Avengers,Steam,Crystal Dynamics,59.99
Tony Hawk's Pro Skater 1+2,Steam,Vicarious Visions,39.99
Resident Evil Village,Steam,Capcom,59.99
Sackboy: A Big Adventure,PlayStation Store,Sumo Digital,59.99
Hyrule Warriors: Age of Calamity,Nintendo eShop,Koei Tecmo,59.99
Monster Hunter Rise,Nintendo eShop,Capcom,59.99
Outriders,Steam,People Can Fly,59.99
Little Nightmares II,Steam,Tarsier Studios,29.99
Disco Elysium,Steam,ZA/UM,39.99
